Date,Australian dollar   (AUD)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Japanese yen   (JPY)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     
3-Jan-2000,,1.009,43.48,,3.6725,,1
4-Jan-2000,0.6583,1.0305,43.5,102.5,3.6725,1.6404,1
5-Jan-2000,0.6558,1.0368,43.52,103.1,3.6725,1.6393,1
6-Jan-2000,0.6582,1.0388,43.52,104.35,3.6725,1.6492,1
7-Jan-2000,0.6539,1.0284,43.51,105.3,3.6725,1.6448,1
10-Jan-2000,0.6556,1.0229,43.53,,3.6725,1.6366,1
11-Jan-2000,0.6558,1.0256,43.52,105.2,3.6725,1.6423,1
12-Jan-2000,0.6583,1.0308,43.53,106.05,3.6725,1.6469,1
13-Jan-2000,0.6629,1.0276,43.53,105.65,3.6725,1.6463,1
14-Jan-2000,0.6664,1.0225,43.52,106.15,3.6725,1.6447,1
17-Jan-2000,0.6654,1.0094,43.52,105.2,3.6725,1.6342,1
18-Jan-2000,0.6633,1.0093,43.57,105,3.6725,1.6335,1
19-Jan-2000,0.6644,1.0105,43.57,105.65,3.6725,1.6378,1
20-Jan-2000,0.6634,1.0089,43.56,105.3,3.6725,1.6465,1
21-Jan-2000,0.6653,1.0097,43.58,104.9,3.6725,1.655,1
24-Jan-2000,0.6563,1.0027,43.64,104.9,3.6725,1.6545,1
25-Jan-2000,0.6558,1.0008,43.58,105.6,3.6725,1.6457,1
26-Jan-2000,,1.0019,43.58,105.84,3.6725,1.6435,1
27-Jan-2000,0.6523,0.9976,43.58,105.65,3.6725,1.6369,1
28-Jan-2000,0.6511,0.9848,43.61,104.9,3.6725,1.6278,1
31-Jan-2000,0.6382,0.9791,43.64,106.85,3.6725,1.6237,1
1-Feb-2000,0.6358,0.971,43.61,107.35,3.6725,1.6113,1
2-Feb-2000,0.6395,0.9717,43.59,108.55,3.6725,1.6076,1
3-Feb-2000,0.6343,0.9748,43.59,107.95,3.6725,1.6001,1
4-Feb-2000,0.6333,0.9835,43.61,107.5,3.6725,1.5885,1
7-Feb-2000,0.6388,0.9767,43.61,107.65,3.6725,1.5928,1
8-Feb-2000,0.6358,0.9903,43.62,109.3,3.6725,1.5983,1
9-Feb-2000,0.6332,0.9934,43.6,109,3.6725,1.6121,1
10-Feb-2000,0.6348,0.9868,43.64,108.67,3.6725,1.6085,1
11-Feb-2000,0.6286,0.9801,43.63,,3.6725,1.5985,1
14-Feb-2000,0.6328,0.9867,43.64,108.4,3.6725,1.5898,1
15-Feb-2000,0.6263,0.9778,43.62,108.88,3.6725,1.586,1
16-Feb-2000,0.6323,0.9804,43.6,109.1,3.6725,1.6004,1
17-Feb-2000,0.6305,0.9919,43.61,109.9,3.6725,1.6115,1
18-Feb-2000,0.6328,0.9857,43.61,110.8,3.6725,1.6046,1
21-Feb-2000,0.6277,0.9857,43.6,110.65,3.6725,1.5992,1
22-Feb-2000,0.6261,1.0022,43.61,111.7,3.6725,1.6075,1
23-Feb-2000,0.6218,1.0068,43.61,110.3,3.6725,1.6081,1
24-Feb-2000,0.6213,0.9898,43.61,111.2,3.6725,1.6002,1
25-Feb-2000,0.6179,0.9813,43.63,110.85,3.6725,1.5938,1
28-Feb-2000,0.6136,0.9639,43.62,108.9,3.6725,1.5898,1
29-Feb-2000,0.6143,0.9714,43.61,110.18,3.6725,1.5927,1
1-Mar-2000,0.6074,0.9667,43.61,109.2,3.6725,1.5846,1
2-Mar-2000,0.6074,0.9725,43.58,107.45,3.6725,1.5838,1
3-Mar-2000,0.6092,0.9659,43.58,107.6,3.6725,1.5787,1
6-Mar-2000,0.6048,0.964,43.57,107.45,3.6725,1.5772,1
